Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
CRAFTSMAN,405.0,5.0,,6826.0,CRAFTSMAN AUTOMATION LTD,Consumer Cyclical,1197.51,,,,6323 cr,211 cr,buy,8400.0,7455.0,6212.0,7254.5 => 6.0%,5393.63 => 20.98%,53.13,1.91,6.4,12.82,Downtrend,Downtrend,Downtrend,3700.0 => 45.8%,3700.0 => 45.8%,0.0 => 100.0%,6216.78 => 8.92%,5347.95 => 21.65%,0.0 => 100.0%
SPLPETRO,406.0,5.0,,860.15,SUPREME PETROCHEM LIMITED,Basic Materials,118.66,,,,5829 cr,350 cr,none,875.0,779.5,684.0,926.6 => 7.0%,706.52 => 17.86%,69.78,2.51,6.19,12.06,Downtrend,Downtrend,Downtrend,518.05 => 39.77%,518.05 => 39.77%,56.67 => 93.41%,744.4 => 13.46%,652.39 => 24.15%,586.3 => 31.84%
CPPLUS,407.0,1.0,,1375.4,ADITYA INFOTECH LIMITED,Industrials,92.68,,,,3216 cr,362 cr,none,0.0,0.0,0.0,1476.0 => 7.0%,0.0 => 100.0%,57.01,3.22,10.78,0.0,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%
NUVOCO,408.0,5.0,,450.6,NUVOCO VISTAS CORP LTD,Basic Materials,252.06,,,,10593 cr,152 cr,none,560.0,422.0,330.0,577.9 => 22.0%,364.4 => 19.13%,55.08,1.85,5.12,9.23,Downtrend,Downtrend,Downtrend,287.5 => 36.2%,287.5 => 36.2%,291.3 => 35.35%,414.57 => 8.0%,378.97 => 15.9%,0.0 => 100.0%
APTUS,409.0,5.0,,320.75,APTUS VALUE HSG FIN I LTD,Financial Services,86.36,,,,1307 cr,799 cr,buy,501.0,400.0,307.0,401.65 => 20.0%,318.29 => 0.77%,39.25,1.85,6.93,9.62,Downtrend,Downtrend,Downtrend,267.95 => 16.46%,267.95 => 16.46%,220.1 => 31.38%,308.54 => 3.81%,292.01 => 8.96%,0.0 => 100.0%
GALLANTT,410.0,5.0,,663.7,GALLANTT ISPAT LIMITED,Basic Materials,117.81,,,,4261 cr,453 cr,none,0.0,0.0,0.0,802.25 => 17.0%,466.38 => 29.73%,50.38,3.61,11.62,17.4,Downtrend,Downtrend,Downtrend,292.05 => 56.0%,292.05 => 56.0%,49.55 => 92.53%,567.28 => 14.53%,519.65 => 21.7%,380.57 => 42.66%
TECHNOE,411.0,5.0,,1376.9,TECHNO ELEC & ENG CO. LTD,Industrials,321.62,,,,2419 cr,436 cr,none,1700.0,1660.0,1629.0,1822.0 => 24.0%,1305.98 => 5.15%,34.53,2.59,7.94,17.21,Downtrend,Downtrend,Downtrend,785.15 => 42.98%,785.15 => 42.98%,222.0 => 83.88%,1279.69 => 7.06%,1056.31 => 23.28%,1081.25 => 21.47%
VGUARD,412.0,5.0,,365.5,V-GUARD IND LTD.,Industrials,48.14,,,,5567 cr,289 cr,none,475.0,435.0,340.0,577.45 => 37.0%,375.69 => -2.79%,45.58,1.95,4.46,8.74,Downtrend,Downtrend,Downtrend,300.0 => 17.92%,300.0 => 17.92%,181.0 => 50.48%,349.72 => 4.32%,315.78 => 13.6%,309.38 => 15.35%
DOMS,413.0,5.0,,2613.0,DOMS INDUSTRIES LIMITED,Industrials,165.24,,,,2030 cr,208 cr,buy,3220.0,2822.5,2300.0,3115.0 => 16.0%,2593.45 => 0.75%,57.96,1.93,5.85,14.75,Downtrend,Downtrend,Downtrend,2092.3 => 19.93%,2092.3 => 19.93%,0.0 => 100.0%,2422.37 => 7.3%,0.0 => 100.0%,0.0 => 100.0%
ELGIEQUIP,414.0,5.0,,500.9,ELGI EQUIPMENTS LTD,Industrials,59.09,,,,3576 cr,363 cr,none,680.0,579.5,425.0,798.95 => 37.0%,512.68 => -2.35%,54.13,3.21,5.82,13.84,Downtrend,Downtrend,Downtrend,401.0 => 19.94%,401.0 => 19.94%,50.6 => 89.9%,443.19 => 11.52%,402.11 => 19.72%,422.89 => 15.57%
