DHUNINV,Support,1355,1.0,1434.3,4399.06,5.11,61.31,92.64,2.21
SUYOG,Support,1348,1.0,807.5,341.01,4.14,,,4.76
BODALCHEM,Support,1369,5.0,66.17,87.6,-1.21,24.42,48.62,2.44
SATIA,Support,1368,1.0,83.34,104.78,5.8,22.73,-21.19,2.26
DWARKESH,Support,1391,5.0,42.39,43.51,9.18,-76.93,68.51,2.31
KECL,Support,1383,1.0,119.35,17.29,5.45,11.14,94.47,3.07
RKSWAMY,Support,1394,5.0,155.45,49.44,-16.97,,,3.27
TREL,Support,1382,1.0,32.29,50.4,1.3,23.41,,2.43
ASAL,Support,1384,1.0,498.9,5.5,9.0,50.09,50.09,2.78
THEINVEST,Support,1379,1.0,153.63,134.87,8.74,58.76,58.76,2.75
KSOLVES,Support,1388,1.0,331.85,8.75,6.43,55.91,,2.91
NAHARSPING,Support,1396,5.0,217.02,390.72,9.29,14.71,89.84,2.2
ATL,Support,1404,1.0,30.52,10.42,9.11,,,4.52
RATNAVEER,Support,1400,5.0,145.43,73.74,9.78,26.36,,1.97
PPL,Support,1405,5.0,319.0,185.42,-14.33,-0.25,57.93,2.87
RSWM,Support,1407,1.0,159.46,269.88,8.57,20.95,77.9,2.96
APTECHT,Support,1406,1.0,129.65,43.21,3.58,17.47,63.89,2.4
PAKKA,Support,1409,1.0,165.89,100.57,5.66,-27.25,,3.84
JAYAGROGN,Support,1416,5.0,241.22,192.29,0.24,41.59,79.21,2.31
SUBEXLTD,Support,1413,1.0,13.2,5.54,9.02,-89.39,78.03,3.08
SHALPAINTS,Support,1417,5.0,85.86,37.72,-7.27,-43.49,50.68,5.67
VERTOZ,Support,1432,1.0,77.61,19.4,5.93,56.61,69.24,5.93
SCHAND,Support,1428,1.0,191.17,280.95,4.69,17.92,82.27,2.81
GANESHBE,Support,1430,1.0,92.87,74.68,6.97,-45.47,,2.31
REPRO,Support,1434,1.0,457.45,266.83,-7.33,26.42,38.68,4.0
KRONOX,Support,1439,5.0,170.1,24.28,9.94,,,3.6
HMVL,Support,1446,5.0,84.93,208.18,2.27,13.81,51.43,3.2
SUTLEJTEX,Support,1436,5.0,38.59,54.62,9.12,-15.31,60.61,4.62
SPECIALITY,Support,1440,1.0,130.64,68.41,6.23,12.42,84.58,3.24
ORIENTPPR,Support,1452,5.0,28.48,72.35,4.14,30.48,30.48,2.18
TPLPLASTEH,Support,1455,1.0,75.4,19.02,5.04,20.41,92.49,2.64
SURAJLTD,Support,1459,1.0,315.3,72.44,-12.07,5.72,,4.44
